trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.25981565566978715, 'e': 0.7930479281016595}",30,0,-135.2483167707037,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
133,False,"{'a': 0.2580032967368236, 'e': 0.7899922314973651}",35,0,-195.18232852650763,"{0: 21, 1: 2, 2: 7, 3: 3, 4: 2}",0
134,False,"{'a': 0.2562035800170224, 'e': 0.7869167851284287}",20,13,-9.997576834866015,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.25441641732390424, 'e': 0.7838216658808492}",20,0,-73.40801724658897,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
136,False,"{'a': 0.25264172108613947, 'e': 0.7807069511324468}",25,0,-147.29454444056836,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
137,False,"{'a': 0.2508794043432574, 'e': 0.7775727187509279}",25,0,-113.35550782712353,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
138,False,"{'a': 0.249129380741385, 'e': 0.7744190470919388}",20,0,-16.67776678813766,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
139,False,"{'a': 0.2473915645290157, 'e': 0.7712460149971065}",35,7,-74.09080088118765,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 1}",1
140,False,"{'a': 0.2456658705528073, 'e': 0.7680537017920684}",25,0,-78.60230996688138,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
141,False,"{'a': 0.24395221425340974, 'e': 0.7648421872844884}",30,0,-203.92705280665487,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
142,False,"{'a': 0.24225051166132142, 'e': 0.7616115517620617}",20,0,-63.03254422964496,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
143,False,"{'a': 0.24056067939277484, 'e': 0.7583618759905082}",20,0,-63.770203364424425,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
